year,mon,day,event,begin,max,end,class,region,new_class,matched_image,image_name,full_path,flare_label,flare_class_idx
2015,5,6,6430,06:36,06:41,06:46,C3.4,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_064136_512_0171.jpg,20150506_064136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_064136_512_0171.jpg,C,2
2015,5,6,6440,06:50,06:54,06:57,C2.4,,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_065700_512_0171.jpg,20150506_065700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_065700_512_0171.jpg,C,2
2015,5,6,6510,11:03,11:12,11:23,C3.4,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_111112_512_0171.jpg,20150506_111112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_111112_512_0171.jpg,C,2
2015,5,6,6590,16:08,16:11,16:15,C1.5,2335.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_161136_512_0171.jpg,20150506_161136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_161136_512_0171.jpg,C,2
2015,5,6,6680,19:59,20:16,20:18,C2.9,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_201148_512_0171.jpg,20150506_201148_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_201148_512_0171.jpg,C,2
2015,5,7,6800,03:22,03:26,03:32,C1.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_032648_512_0171.jpg,20150507_032648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_032648_512_0171.jpg,C,2
2015,5,7,6850,06:24,06:31,06:38,C1.6,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_062612_512_0171.jpg,20150507_062612_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_062612_512_0171.jpg,C,2
2015,5,7,6880,09:54,10:02,10:22,C4.3,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_095636_512_0171.jpg,20150507_095636_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_095636_512_0171.jpg,C,2
2015,5,7,6980,15:22,15:30,15:43,C1.8,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_152624_512_0171.jpg,20150507_152624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_152624_512_0171.jpg,C,2
2015,5,7,7000,16:49,16:54,17:03,C2.8,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_165636_512_0171.jpg,20150507_165636_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_165636_512_0171.jpg,C,2
2015,5,7,7070,19:47,20:00,20:09,C5.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_195724_512_0171.jpg,20150507_195724_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_195724_512_0171.jpg,C,2
2015,5,7,7100,23:11,23:15,23:20,C1.7,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_231224_512_0171.jpg,20150507_231224_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/07/20150507_231224_512_0171.jpg,C,2
2015,5,8,7160,03:56,04:09,04:14,C5.5,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_041212_512_0171.jpg,20150508_041212_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_041212_512_0171.jpg,C,2
2015,5,8,7170,04:33,04:45,04:48,C1.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_044100_512_0171.jpg,20150508_044100_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_044100_512_0171.jpg,C,2
2015,5,8,7180,04:51,05:01,05:03,C1.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_045700_512_0171.jpg,20150508_045700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_045700_512_0171.jpg,C,2
2015,5,8,7200,08:00,08:08,08:13,C1.5,,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_081112_512_0171.jpg,20150508_081112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_081112_512_0171.jpg,C,2
2015,5,8,7220,09:37,09:40,09:42,C4.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_094112_512_0171.jpg,20150508_094112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_094112_512_0171.jpg,C,2
2015,5,8,7300,19:50,19:55,20:03,C1.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_195624_512_0171.jpg,20150508_195624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_195624_512_0171.jpg,C,2
2015,5,8,7330,21:32,21:50,22:20,C2.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_215648_512_0171.jpg,20150508_215648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/08/20150508_215648_512_0171.jpg,C,2
2015,5,9,7440,01:12,01:34,02:21,C7.4,,C,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_012724_512_0171.jpg,20150509_012724_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_012724_512_0171.jpg,C,2
2015,5,9,7560,08:01,08:13,08:24,C3.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_081212_512_0171.jpg,20150509_081212_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_081212_512_0171.jpg,C,2
2015,5,9,7640,13:53,14:00,14:05,C1.6,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_135549_512_0171.jpg,20150509_135549_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_135549_512_0171.jpg,C,2
2015,5,9,7740,18:40,19:06,19:26,C1.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_191124_512_0171.jpg,20150509_191124_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/09/20150509_191124_512_0171.jpg,C,2
2015,5,10,7780,03:21,03:29,03:32,C1.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_032700_512_0171.jpg,20150510_032700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_032700_512_0171.jpg,C,2
2015,5,10,7800,08:00,08:29,09:00,C1.9,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_082648_512_0171.jpg,20150510_082648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_082648_512_0171.jpg,C,2
2015,5,10,7850,12:45,13:03,13:23,C2.2,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_125624_512_0171.jpg,20150510_125624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_125624_512_0171.jpg,C,2
2015,5,10,7890,17:04,17:11,17:19,C2.4,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_171112_512_0171.jpg,20150510_171112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_171112_512_0171.jpg,C,2
2015,5,10,7940,21:35,21:55,22:03,C2.4,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_215613_512_0171.jpg,20150510_215613_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_215613_512_0171.jpg,C,2
2015,5,10,8000,23:37,23:43,23:51,C2.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_234200_512_0171.jpg,20150510_234200_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/10/20150510_234200_512_0171.jpg,C,2
2015,5,11,8070,01:43,01:54,02:08,C1.2,2335.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_015648_512_0171.jpg,20150511_015648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_015648_512_0171.jpg,C,2
2015,5,11,8120,03:45,04:09,04:29,C2.5,,C,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_041200_512_0171.jpg,20150511_041200_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_041200_512_0171.jpg,C,2
2015,5,11,8220,12:10,12:13,12:15,C1.2,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_121213_512_0171.jpg,20150511_121213_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_121213_512_0171.jpg,C,2
2015,5,11,8230,13:02,13:08,13:14,C1.6,2335.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_131200_512_0171.jpg,20150511_131200_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_131200_512_0171.jpg,C,2
2015,5,11,8290,18:33,18:42,18:51,C2.0,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_184236_512_0171.jpg,20150511_184236_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/11/20150511_184236_512_0171.jpg,C,2
2015,5,12,8490,02:15,03:02,03:42,C2.6,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/12/20150512_025600_512_0171.jpg,20150512_025600_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/12/20150512_025600_512_0171.jpg,C,2
2015,5,12,8550,10:40,10:46,10:50,C1.7,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/12/20150512_104148_512_0171.jpg,20150512_104148_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/12/20150512_104148_512_0171.jpg,C,2
2015,5,13,8790,02:51,02:55,02:59,C1.2,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_025712_512_0171.jpg,20150513_025712_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_025712_512_0171.jpg,C,2
2015,5,13,8810,03:46,03:51,04:04,C1.7,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_035724_512_0171.jpg,20150513_035724_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_035724_512_0171.jpg,C,2
2015,5,13,8980,11:04,11:11,11:14,C3.2,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_111136_512_0171.jpg,20150513_111136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_111136_512_0171.jpg,C,2
2015,5,13,9110,18:09,18:18,18:38,C9.2,2345.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_181213_512_0171.jpg,20150513_181213_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/13/20150513_181213_512_0171.jpg,C,2
2015,5,14,9390,06:52,07:31,07:36,C2.5,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_072648_512_0171.jpg,20150514_072648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_072648_512_0171.jpg,C,2
2015,5,14,9490,13:58,14:08,14:24,C2.8,2342.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_141100_512_0171.jpg,20150514_141100_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_141100_512_0171.jpg,C,2
2015,5,14,9510,16:17,16:31,16:41,C2.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_162648_512_0171.jpg,20150514_162648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_162648_512_0171.jpg,C,2
2015,5,14,9530,17:45,17:53,17:59,C4.8,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_175648_512_0171.jpg,20150514_175648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_175648_512_0171.jpg,C,2
2015,5,14,9540,18:59,19:06,19:15,C1.1,2342.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_191100_512_0171.jpg,20150514_191100_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_191100_512_0171.jpg,C,2
2015,5,14,9640,23:48,00:11,00:19,C2.6,2342.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_235712_512_0171.jpg,20150514_235712_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/14/20150514_235712_512_0171.jpg,C,2
2015,5,15,9740,05:22,05:25,05:28,C1.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_052637_512_0171.jpg,20150515_052637_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_052637_512_0171.jpg,C,2
2015,5,15,9790,08:38,08:43,08:48,C1.1,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_084136_512_0171.jpg,20150515_084136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_084136_512_0171.jpg,C,2
2015,5,15,9820,09:05,09:12,09:20,C1.2,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_091136_512_0171.jpg,20150515_091136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_091136_512_0171.jpg,C,2
2015,5,15,9940,22:18,22:30,22:39,C2.0,2342.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_222712_512_0171.jpg,20150515_222712_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_222712_512_0171.jpg,C,2
2015,5,15,9950,23:22,23:29,23:33,C2.5,,C,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_232549_512_0171.jpg,20150515_232549_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/15/20150515_232549_512_0171.jpg,C,2
2015,5,17,140,02:08,02:15,02:24,B8.6,,B,/content/drive/MyDrive/Data Skripsi/2015/05/17/20150517_021112_512_0171.jpg,20150517_021112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/17/20150517_021112_512_0171.jpg,B,1
2015,5,17,200,19:39,19:43,19:47,B7.9,,B,/content/drive/MyDrive/Data Skripsi/2015/05/17/20150517_194112_512_0171.jpg,20150517_194112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/17/20150517_194112_512_0171.jpg,B,1
2015,5,18,220,07:27,07:53,08:08,C1.0,2349.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/18/20150518_075624_512_0171.jpg,20150518_075624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/18/20150518_075624_512_0171.jpg,C,2
2015,5,18,250,13:11,13:15,13:18,B6.7,2342.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/18/20150518_131148_512_0171.jpg,20150518_131148_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/18/20150518_131148_512_0171.jpg,B,1
2015,5,19,380,11:54,11:59,12:02,C2.3,2351.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/19/20150519_115524_512_0171.jpg,20150519_115524_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/19/20150519_115524_512_0171.jpg,C,2
2015,5,19,390,12:40,12:45,12:49,B7.6,2349.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/19/20150519_124212_512_0171.jpg,20150519_124212_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/19/20150519_124212_512_0171.jpg,B,1
2015,5,20,450,02:49,02:57,03:04,B7.7,2349.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_025612_512_0171.jpg,20150520_025612_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_025612_512_0171.jpg,B,1
2015,5,20,460,03:48,04:04,04:27,C1.3,2351.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_035700_512_0171.jpg,20150520_035700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_035700_512_0171.jpg,C,2
2015,5,20,480,08:05,08:12,08:19,C1.6,2349.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_081324_512_0171.jpg,20150520_081324_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_081324_512_0171.jpg,C,2
2015,5,20,490,15:02,15:07,15:12,B5.8,2351.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_151124_512_0171.jpg,20150520_151124_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_151124_512_0171.jpg,B,1
2015,5,20,500,16:50,17:02,17:22,B7.1,,B,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_165824_512_0171.jpg,20150520_165824_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/20/20150520_165824_512_0171.jpg,B,1
2015,5,21,520,03:33,03:43,03:52,B6.1,,B,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_034212_512_0171.jpg,20150521_034212_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_034212_512_0171.jpg,B,1
2015,5,21,530,05:22,05:37,05:53,B6.3,2346.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_054148_512_0171.jpg,20150521_054148_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_054148_512_0171.jpg,B,1
2015,5,21,560,06:01,06:11,06:17,B9.8,2346.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_061124_512_0171.jpg,20150521_061124_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_061124_512_0171.jpg,B,1
2015,5,21,570,06:57,07:06,07:17,C1.1,2349.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_071100_512_0171.jpg,20150521_071100_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_071100_512_0171.jpg,C,2
2015,5,21,640,20:39,20:47,20:56,B4.2,,B,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_204148_512_0171.jpg,20150521_204148_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/21/20150521_204148_512_0171.jpg,B,1
2015,5,22,680,16:40,16:45,16:52,B5.4,2352.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/22/20150522_164136_512_0171.jpg,20150522_164136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/22/20150522_164136_512_0171.jpg,B,1
2015,5,22,700,23:41,23:51,23:57,C2.0,2349.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/22/20150522_235648_512_0171.jpg,20150522_235648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/22/20150522_235648_512_0171.jpg,C,2
2015,5,23,720,01:15,01:22,01:32,B4.0,2349.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_012612_512_0171.jpg,20150523_012612_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_012612_512_0171.jpg,B,1
2015,5,23,760,13:39,13:43,13:48,B4.9,2349.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_134136_512_0171.jpg,20150523_134136_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_134136_512_0171.jpg,B,1
2015,5,23,780,16:24,16:30,16:33,B3.9,2353.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_162724_512_0171.jpg,20150523_162724_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_162724_512_0171.jpg,B,1
2015,5,23,810,17:30,17:39,17:41,C2.3,2353.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_174000_512_0171.jpg,20150523_174000_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_174000_512_0171.jpg,C,2
2015,5,23,830,23:51,23:56,00:01,B6.4,2349.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_235736_512_0171.jpg,20150523_235736_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/23/20150523_235736_512_0171.jpg,B,1
2015,5,25,880,19:33,19:57,20:12,B7.4,,B,/content/drive/MyDrive/Data Skripsi/2015/05/25/20150525_195648_512_0171.jpg,20150525_195648_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/25/20150525_195648_512_0171.jpg,B,1
2015,5,26,920,11:44,11:49,12:02,B5.2,2351.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/26/20150526_115600_512_0171.jpg,20150526_115600_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/26/20150526_115600_512_0171.jpg,B,1
2015,5,27,950,07:17,07:22,07:29,B3.9,,B,/content/drive/MyDrive/Data Skripsi/2015/05/27/20150527_072700_512_0171.jpg,20150527_072700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/27/20150527_072700_512_0171.jpg,B,1
2015,5,27,960,10:38,10:42,10:47,B4.0,2351.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/27/20150527_104124_512_0171.jpg,20150527_104124_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/27/20150527_104124_512_0171.jpg,B,1
2015,5,27,1000,21:22,21:31,21:37,C1.3,,C,/content/drive/MyDrive/Data Skripsi/2015/05/27/20150527_212736_512_0171.jpg,20150527_212736_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/27/20150527_212736_512_0171.jpg,C,2
2015,5,28,1020,01:51,01:56,02:01,B3.4,2351.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/28/20150528_015624_512_0171.jpg,20150528_015624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/28/20150528_015624_512_0171.jpg,B,1
2015,5,30,1090,06:44,06:57,07:06,B3.6,2356.0,B,/content/drive/MyDrive/Data Skripsi/2015/05/30/20150530_065612_512_0171.jpg,20150530_065612_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/30/20150530_065612_512_0171.jpg,B,1
2015,5,30,1100,21:55,22:03,22:12,B6.5,,B,/content/drive/MyDrive/Data Skripsi/2015/05/30/20150530_215624_512_0171.jpg,20150530_215624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/30/20150530_215624_512_0171.jpg,B,1
2015,5,31,1110,08:05,08:11,08:18,B3.9,,B,/content/drive/MyDrive/Data Skripsi/2015/05/31/20150531_081148_512_0171.jpg,20150531_081148_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/31/20150531_081148_512_0171.jpg,B,1
2015,5,31,1130,08:50,09:00,09:06,B3.7,,B,/content/drive/MyDrive/Data Skripsi/2015/05/31/20150531_085700_512_0171.jpg,20150531_085700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/31/20150531_085700_512_0171.jpg,B,1
2015,6,1,1170,03:33,03:40,03:46,B6.9,,B,/content/drive/MyDrive/Data Skripsi/2015/06/01/20150601_034212_512_0171.jpg,20150601_034212_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/06/01/20150601_034212_512_0171.jpg,B,1
2015,6,2,1210,05:55,05:58,06:02,B4.4,,B,/content/drive/MyDrive/Data Skripsi/2015/06/02/20150602_055624_512_0171.jpg,20150602_055624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/06/02/20150602_055624_512_0171.jpg,B,1
2015,6,2,1240,06:49,07:02,07:19,C1.9,,C,/content/drive/MyDrive/Data Skripsi/2015/06/02/20150602_065624_512_0171.jpg,20150602_065624_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/06/02/20150602_065624_512_0171.jpg,C,2
2015,6,2,1250,10:12,10:17,10:28,B6.4,2358.0,B,/content/drive/MyDrive/Data Skripsi/2015/06/02/20150602_102724_512_0171.jpg,20150602_102724_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/06/02/20150602_102724_512_0171.jpg,B,1
2015,6,3,1390,20:41,21:48,21:59,C1.3,2360.0,C,/content/drive/MyDrive/Data Skripsi/2015/06/03/20150603_214224_512_0171.jpg,20150603_214224_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/06/03/20150603_214224_512_0171.jpg,C,2
2015,6,4,1440,09:36,09:47,09:56,C8.1,2361.0,C,/content/drive/MyDrive/Data Skripsi/2015/06/04/20150604_094112_512_0171.jpg,20150604_094112_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/06/04/20150604_094112_512_0171.jpg,C,2
